Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets*,82,19930,3570,7196,.496,1161,2934,.396,2409,4262,.565,1709,2116,.808,801,2805,3606,2375,560,325,1057,1569,10010
2,Miami Heat,82,19705,3582,7648,.468,1123,3107,.361,2459,4541,.542,1624,2051,.792,970,2825,3795,2374,709,349,1120,1547,9911
3,San Antonio Spurs*,82,19730,3562,7371,.483,1116,3108,.359,2446,4263,.574,1586,2016,.787,935,2921,3856,2302,617,447,1103,1546,9826
4,Cleveland Cavaliers*,82,19755,3554,7381,.482,1173,3261,.360,2381,4120,.578,1520,1959,.776,961,2682,3643,2321,697,409,1147,1605,9801
5,Oklahoma City Thunder*,82,19855,3534,7307,.484,1135,3111,.365,2399,4196,.572,1557,1905,.817,784,2834,3618,2113,796,449,1031,1555,9760
6,Atlanta Hawks*,82,19755,3575,7541,.474,1201,3237,.371,2374,4304,.552,1363,1762,.774,900,2670,3570,2471,768,384,1162,1612,9714
7,Minnesota Timberwolves*,82,19780,3495,7260,.481,1128,3049,.370,2367,4211,.562,1558,2072,.752,907,2708,3615,2138,717,476,1214,1738,9676
8,Detroit Pistons*,82,19805,3560,7340,.485,902,2534,.356,2658,4806,.553,1635,2144,.763,1073,2663,3736,2281,856,523,1241,1803,9657
9,Utah Jazz,82,19830,3489,7469,.467,1036,3006,.345,2453,4463,.550,1628,2071,.786,984,2609,3593,2429,729,309,1272,1733,9642
10,New York Knicks*,82,19755,3500,7328,.478,1168,3133,.373,2332,4195,.556,1381,1743,.792,1040,2700,3740,2250,666,322,1119,1638,9549
11,Los Angeles Lakers*,82,19705,3448,6863,.502,970,2701,.359,2478,4162,.595,1674,2194,.763,774,2587,3361,2122,701,351,1188,1517,9540
12,Chicago Bulls,82,19755,3476,7417,.469,1169,3287,.356,2307,4130,.559,1416,1824,.776,849,2845,3694,2335,627,410,1257,1561,9537
13,Charlotte Hornets,82,19755,3357,7292,.460,1343,3549,.378,2014,3743,.538,1456,1780,.818,1048,2730,3778,2160,577,369,1264,1564,9513
14,Philadelphia 76ers*,82,19880,3422,7404,.462,1011,2896,.349,2411,4508,.535,1647,2035,.809,967,2612,3579,2017,750,464,1117,1667,9502
15,Orlando Magic*,82,19830,3363,7244,.464,961,2799,.343,2402,4445,.540,1804,2251,.801,898,2659,3557,2177,697,387,1162,1719,9491
16,New Orleans Pelicans,82,19805,3455,7420,.466,914,2635,.347,2541,4785,.531,1649,2104,.784,1002,2596,3598,2058,726,424,1163,1634,9473
17,Portland Trail Blazers*,82,19755,3350,7389,.453,1186,3462,.343,2164,3927,.551,1583,2069,.765,1157,2614,3771,2062,677,448,1417,1634,9469
18,Houston Rockets*,82,19905,3523,7361,.479,940,2580,.364,2583,4781,.540,1463,1917,.763,1233,2713,3946,2083,701,473,1261,1501,9449
19,Boston Celtics*,82,19730,3456,7398,.467,1268,3456,.367,2188,3942,.555,1238,1534,.807,1025,2777,3802,2021,585,410,1014,1562,9418
20,Memphis Grizzlies,82,19730,3390,7431,.456,1143,3241,.353,2247,4190,.536,1480,1867,.793,916,2538,3454,2283,723,393,1236,1680,9403
21,Toronto Raptors*,82,19780,3495,7250,.482,932,2633,.354,2563,4617,.555,1478,1922,.769,895,2557,3452,2417,722,395,1121,1710,9400
22,Golden State Warriors,82,19805,3357,7280,.461,1286,3616,.356,2071,3664,.565,1398,1732,.807,932,2540,3472,2369,796,346,1284,1608,9398
23,Dallas Mavericks,82,19855,3432,7366,.466,899,2615,.344,2533,4751,.533,1595,2113,.755,863,2803,3666,2072,619,423,1193,1508,9358
24,Los Angeles Clippers,82,19780,3322,6857,.484,1019,2772,.368,2303,4085,.564,1666,2025,.823,784,2545,3329,1947,738,400,1176,1549,9329
25,Washington Wizards,82,19755,3428,7409,.463,1070,2983,.359,2358,4426,.533,1332,1738,.766,900,2536,3436,2054,655,452,1284,1750,9258
26,Phoenix Suns*,82,19755,3362,7389,.455,1210,3348,.361,2152,4041,.533,1298,1663,.781,1064,2471,3535,2021,781,347,1188,1691,9232
27,Indiana Pacers,82,19755,3346,7304,.458,1097,3084,.356,2249,4220,.533,1430,1842,.776,806,2633,3439,2269,605,374,1190,1710,9219
28,Sacramento Kings,82,19755,3408,7299,.467,843,2476,.340,2565,4823,.532,1443,1870,.772,943,2523,3466,2095,658,372,1175,1614,9102
29,Milwaukee Bucks,82,19755,3345,7012,.477,1240,3205,.387,2105,3807,.553,1142,1564,.730,731,2610,3341,2116,607,326,1247,1617,9072
30,Brooklyn Nets,82,19755,3071,6933,.443,1073,3152,.340,1998,3781,.528,1471,1885,.780,847,2378,3225,2050,653,350,1292,1728,8686
,League Average,82,19783,3441,7305,.471,1091,3032,.360,2350,4273,.550,1507,1926,.783,933,2656,3589,2193,690,397,1190,1629,9480
